strategy,segment,race_id,race_date,month,track,race_no,formation,bets,stake_yen,payout_yen,profit_yen,hit,A,B,M3,R1L,R1B,pair_score_gap,pair_win_gap,rival_top3,pair_top3_gap,r1l_score,main_top2
middle,中盤,5620260401010009,2026-04-01,2026-04,岸和田競輪,9,MIX2,7-2-5|1-5-2,200,0,-200,0,7,2,3,1,5,11.740000000000009,30.799999999999997,81.1,26.5,101.17,76.9
early,前半,7420260405010006,2026-04-05,2026-04,高知競輪,6,MIX2,4-2-3|1-3-2,200,1320,1120,1,4,2,6,1,3,0.18999999999999773,-14.900000000000002,69.69999999999999,37.30000000000001,102.75,49.300000000000004
late,後半,7420260405010010,2026-04-05,2026-04,高知競輪,10,MAIN4_X,1-5-7|5-1-7|1-5-3|5-1-3,400,0,-400,0,1,5,7,3,6,16.230000000000018,30.300000000000004,80.6,40.5,100.21,64.3
early,前半,8120260407010007,2026-04-07,2026-04,小倉競輪,7,MIX2,5-2-7|1-7-2,200,1750,1550,1,5,2,6,1,7,1.710000000000008,-2.6000000000000014,102.9,1.3999999999999915,102.47,67.3
middle,中盤,8320260410010008,2026-04-10,2026-04,久留米競輪,8,MIX2,2-7-1|4-1-7,200,0,-200,0,2,7,5,4,1,0.29000000000002046,12.100000000000001,83.4,12.699999999999989,103.6,79.8
late,後半,8320260410010011,2026-04-10,2026-04,久留米競輪,11,MAIN4_X,4-1-6|1-4-6|4-1-2|1-4-2,400,1370,970,1,4,1,6,2,5,12.550000000000011,11.0,52.5,39.30000000000001,100.61,63.5
middle,中盤,4520260415010009,2026-04-15,2026-04,豊橋競輪,9,MIX2,3-4-2|5-2-4,200,0,-200,0,3,4,7,5,2,8.129999999999995,8.899999999999999,84.6,23.0,99.26,67.4
early,前半,2720260417010007,2026-04-17,2026-04,京王閣競輪,7,MIX2,5-3-4|2-4-3,200,0,-200,0,5,3,6,2,4,3.450000000000017,-11.4,67.7,-0.6000000000000085,101.74,36.8
middle,中盤,3720260418010010,2026-04-18,2026-04,伊東競輪,10,MIX2,4-1-2|5-2-1,200,0,-200,0,4,1,6,5,2,4.280000000000001,5.399999999999999,81.9,13.0,99.94,68.2
late,後半,7520260420010011,2026-04-20,2026-04,松山競輪,11,MAIN4_X,1-4-5|4-1-5|1-4-7|4-1-7,400,270,-130,1,1,4,5,7,3,14.979999999999961,15.600000000000005,65.19999999999999,34.70000000000002,101.15,61.9
