race_id,race_date,track,race_no,race_type,first_candidates,second_candidates,third_candidates,actual_1st,actual_2nd,actual_3rd,hit_1st,hit_2nd,hit_3rd,complete_capture,candidate_cells
3720240213020007,2024-02-14,伊東競輪,7,Ｓ級一般,1-4,1-2-5,3-4-5-7,4,3,7,1,0,1,0,9
3720240213020008,2024-02-14,伊東競輪,8,Ｓ級選抜,3,1-3,2-4-5-7,3,5,7,1,0,1,0,7
3720240213020009,2024-02-14,伊東競輪,9,Ｓ級選抜,1-2,1-5-7,1-2-3-5,5,1,7,0,1,0,0,9
3720240213020010,2024-02-14,伊東競輪,10,Ｓ級準決勝,1-4,1-4,1-3-5-7,1,3,6,1,0,0,0,8
3720240213020011,2024-02-14,伊東競輪,11,Ｓ級準決勝,1,1-6,3-4-5-6,1,7,5,1,0,1,0,7
3720240213020012,2024-02-14,伊東競輪,12,Ｓ級準決勝,3,3-5-7,1-5-7,3,7,2,1,1,0,0,7
6120240214010008,2024-02-14,玉野競輪,8,Ｓ級予選,1-2,1-2-7,4-5-7,1,7,2,1,1,0,0,8
6120240214010009,2024-02-14,玉野競輪,9,Ｓ級予選,5,1-2-5,4-5-6-7,1,5,6,0,1,1,0,8
6120240214010010,2024-02-14,玉野競輪,10,Ｓ級予選,5,1-3-5,3-4-6,5,7,1,1,0,0,0,7
6120240214010011,2024-02-14,玉野競輪,11,Ｓ級予選,3-4,2-3-4,1-2-7,2,6,5,0,0,0,0,8
6120240214010012,2024-02-14,玉野競輪,12,Ｓ級初日特選,2,1-2,1-3-4-6,2,3,7,1,0,0,0,7
2620240213020006,2024-02-14,西武園競輪,6,Ｓ級一般,2,2-3,2-3-4-7,3,4,5,0,0,0,0,7
2620240213020007,2024-02-14,西武園競輪,7,Ｓ級一般,4,1-4,3-4-7,4,1,7,1,1,1,1,6
2620240213020008,2024-02-14,西武園競輪,8,Ｓ級選抜,2-4,2-4-5,2-4-5-7,2,5,4,1,1,1,1,9
2620240213020009,2024-02-14,西武園競輪,9,Ｓ級選抜,2,1-2-7,1-4-5-7,1,5,6,0,0,0,0,8
2620240213020010,2024-02-14,西武園競輪,10,Ｓ級準決勝,2-3,2-3,1-4-6,4,2,3,0,1,0,0,7
2620240213020011,2024-02-14,西武園競輪,11,Ｓ級準決勝,1-5,3-4,1-4-5-7,7,1,3,0,0,0,0,8
2620240213020012,2024-02-14,西武園競輪,12,Ｓ級準決勝,2,2-3-4,1-2-7,3,4,1,0,1,1,0,7
3720240213030005,2024-02-15,伊東競輪,5,Ｓ級一般,2,2-5,3-4-5-7,5,1,2,0,0,0,0,7
3720240213030006,2024-02-15,伊東競輪,6,Ｓ級一般,5-7,1-2-3,2-4-5-6,1,3,7,0,1,0,0,9
3720240213030007,2024-02-15,伊東競輪,7,Ｓ級一般,2,1-2,1-3-4-5,1,4,7,0,0,0,0,7
3720240213030008,2024-02-15,伊東競輪,8,Ｓ級特選,1-2,1-2-5,4-5-6,1,4,3,1,0,0,0,8
3720240213030009,2024-02-15,伊東競輪,9,Ｓ級特選,2,1-2-6,1-2-5-7,6,4,5,0,0,1,0,8
3720240213030010,2024-02-15,伊東競輪,10,Ｓ級特選,3,1-3-4,4-5-7,7,4,3,0,1,0,0,7
3720240213030012,2024-02-15,伊東競輪,12,Ｓ級決勝,2-3,2-3-4,4-5-7,3,5,4,1,0,1,0,8
8520240215010008,2024-02-15,佐世保競輪,8,Ｓ級予選,3-5,1-3-4,1-3-5-7,6,2,3,0,0,1,0,9
8520240215010009,2024-02-15,佐世保競輪,9,Ｓ級予選,2-3,1-3-7,2-5-6-7,2,7,1,1,1,0,0,9
8520240215010010,2024-02-15,佐世保競輪,10,Ｓ級予選,5,2-5,2-4-7,2,7,5,0,0,0,0,6
8520240215010011,2024-02-15,佐世保競輪,11,Ｓ級予選,7,1-7,1-3-4,7,1,4,1,1,1,1,6
8520240215010012,2024-02-15,佐世保競輪,12,Ｓ級初日特選,1-2,1-2-7,2-5-7,1,7,2,1,1,1,1,8
6120240214020008,2024-02-15,玉野競輪,8,Ｓ級一般,1-4,1-4,4-5-6-7,4,1,2,1,1,0,0,8
6120240214020009,2024-02-15,玉野競輪,9,Ｓ級一般,1-3,1-3-5,2-5-7,1,5,2,1,1,1,1,8
6120240214020010,2024-02-15,玉野競輪,10,Ｓ級準決勝,2-7,2-5-7,2-4-5-7,2,5,7,1,1,1,1,9
6120240214020011,2024-02-15,玉野競輪,11,Ｓ級準決勝,3,3-7,4-5-7,3,6,1,1,0,0,0,6
6120240214020012,2024-02-15,玉野競輪,12,Ｓ級準決勝,1,1-4-5,2-3-5-7,1,7,5,1,0,1,0,8
2620240213030005,2024-02-15,西武園競輪,5,Ｓ級一般,2-3,2-3-5,4-5-7,3,7,4,1,0,1,0,8
2620240213030006,2024-02-15,西武園競輪,6,Ｓ級一般,5,2-5,3-4-5-6,4,3,6,0,0,1,0,7
2620240213030007,2024-02-15,西武園競輪,7,Ｓ級一般,3-5,1-3-5,2-3-4-7,3,5,2,1,1,1,1,9
2620240213030008,2024-02-15,西武園競輪,8,Ｓ級特選,3,1-3,1-4-5-7,4,3,6,0,1,0,0,7
2620240213030009,2024-02-15,西武園競輪,9,Ｓ級特選,2-3,2-3-4,1-2-4-5,5,1,2,0,0,1,0,9
2620240213030010,2024-02-15,西武園競輪,10,Ｓ級特選,2,2-5,3-4-5-7,2,5,1,1,1,0,0,7
2620240213030012,2024-02-15,西武園競輪,12,Ｓ級決勝,1-4,1-4,4-5-7,7,2,4,0,0,1,0,7
8520240215020008,2024-02-16,佐世保競輪,8,Ｓ級一般,2-5,2-3-4,1-3-4-7,1,4,6,0,1,0,0,9
8520240215020009,2024-02-16,佐世保競輪,9,Ｓ級一般,1-2,1-2,4-5-7,1,4,3,1,0,0,0,7
8520240215020010,2024-02-16,佐世保競輪,10,Ｓ級準決勝,1,1-2,1-2-4-7,1,5,7,1,0,1,0,7
8520240215020011,2024-02-16,佐世保競輪,11,Ｓ級準決勝,1-7,1-7,1-2-3-6,7,1,6,1,1,1,1,8
8520240215020012,2024-02-16,佐世保競輪,12,Ｓ級準決勝,1,1-4,2-3-4-5,1,6,3,1,0,1,0,7
6120240214030006,2024-02-16,玉野競輪,6,Ｓ級一般,2,1-2,4-5-6,1,2,4,0,1,1,0,6
6120240214030007,2024-02-16,玉野競輪,7,Ｓ級一般,1-7,1-7,4-5-7,1,7,5,1,1,1,1,7
6120240214030008,2024-02-16,玉野競輪,8,Ｓ級特選,2-4,4-5,2-4-5-7,2,4,5,1,1,1,1,8
6120240214030009,2024-02-16,玉野競輪,9,Ｓ級特選,4-5,1-3-4,1-2-4-6,7,2,5,0,0,0,0,9
6120240214030012,2024-02-16,玉野競輪,12,Ｓ級決勝,5,2-5-7,2-3-4,5,7,3,1,1,1,1,7
8520240215030008,2024-02-17,佐世保競輪,8,Ｓ級特選,5-7,3-5-7,1-2-6-7,7,2,3,1,0,0,0,9
8520240215030009,2024-02-17,佐世保競輪,9,Ｓ級特選,4,1-3-4,3-4-6-7,7,3,1,0,1,0,0,8
8520240215030012,2024-02-17,佐世保競輪,12,Ｓ級決勝,1,1-2,2-3-4-7,3,7,1,0,0,0,0,7
4520240217010006,2024-02-17,豊橋競輪,6,Ｓ級予選,2,2-7,1-4-5-7,2,7,4,1,1,1,1,7
4520240217010007,2024-02-17,豊橋競輪,7,Ｓ級予選,5,1-5,1-2-7,5,2,7,1,0,1,0,6
4520240217010008,2024-02-17,豊橋競輪,8,Ｓ級予選,1,1-7,4-5-7,1,7,5,1,1,1,1,6
4520240217010009,2024-02-17,豊橋競輪,9,Ｓ級予選,1-5,1-5-7,2-4-5-7,7,4,6,0,0,0,0,9
4520240217010010,2024-02-17,豊橋競輪,10,Ｓ級予選,2-5,2-3-4,4-6-7,3,5,7,0,0,1,0,8
4520240217010011,2024-02-17,豊橋競輪,11,Ｓ級予選,1,1-4,2-3-4-6,1,7,3,1,0,1,0,7
4520240217010012,2024-02-17,豊橋競輪,12,Ｓ級初特選,4-5,1-2-3,1-2-5-7,1,6,2,0,0,1,0,9
2220240218010006,2024-02-18,前橋競輪,6,Ｓ級予選,5,1-5-6,1-2-3-4,5,1,6,1,1,0,0,8
2220240218010007,2024-02-18,前橋競輪,7,Ｓ級予選,1-3,1-2-3,1-3-4-7,3,1,5,1,1,0,0,9
2220240218010008,2024-02-18,前橋競輪,8,Ｓ級予選,3,1-3-4,2-4-7,3,4,7,1,1,1,1,7
2220240218010009,2024-02-18,前橋競輪,9,Ｓ級予選,4,1-4-7,2-5-7,1,4,7,0,1,1,0,7
2220240218010010,2024-02-18,前橋競輪,10,Ｓ級予選,1,1-3-4,2-4-5-7,6,2,5,0,0,1,0,8
2220240218010011,2024-02-18,前橋競輪,11,Ｓ級予選,3-7,1-3-7,3-4-5,1,7,2,0,1,0,0,8
2220240218010012,2024-02-18,前橋競輪,12,Ｓ級初特選,1-2,1-2-3,3-4-5-7,3,5,6,0,0,0,0,9
4520240217020009,2024-02-18,豊橋競輪,9,Ｓ級選抜,5-7,1-5,3-4-5-7,4,3,2,0,0,0,0,8
4520240217020010,2024-02-18,豊橋競輪,10,Ｓ級準決勝,4-5,4-5,2-4-5-7,4,5,3,1,1,0,0,8
4520240217020011,2024-02-18,豊橋競輪,11,Ｓ級準決勝,1-7,1-2-7,1-3-4-6,2,5,4,0,0,1,0,9
4520240217020012,2024-02-18,豊橋競輪,12,Ｓ級準決勝,7,1-3-7,1-3-5-7,7,2,1,1,0,1,0,8
