race_id,race_date,track,race_no,race_type,odds_source_url,error
8620240421030005,2024-04-23,別府競輪,5,Ｓ級一般,https://keirin.kdreams.jp/beppu/racedetail/8620240421030005/?pageType=odds,OddsParseError: expected >=5 odds status blocks; got 4
8620240421030006,2024-04-23,別府競輪,6,Ｓ級一般,https://keirin.kdreams.jp/beppu/racedetail/8620240421030006/?pageType=odds,OddsParseError: expected >=5 odds status blocks; got 4
8620240421030007,2024-04-23,別府競輪,7,Ｓ級一般,https://keirin.kdreams.jp/beppu/racedetail/8620240421030007/?pageType=odds,OddsParseError: expected >=5 odds status blocks; got 4
8620240421030008,2024-04-23,別府競輪,8,Ｓ級特選,https://keirin.kdreams.jp/beppu/racedetail/8620240421030008/?pageType=odds,OddsParseError: expected >=5 odds status blocks; got 4
8620240421030009,2024-04-23,別府競輪,9,Ｓ級特選,https://keirin.kdreams.jp/beppu/racedetail/8620240421030009/?pageType=odds,OddsParseError: expected >=5 odds status blocks; got 4
8620240421030010,2024-04-23,別府競輪,10,Ｓ級特選,https://keirin.kdreams.jp/beppu/racedetail/8620240421030010/?pageType=odds,OddsParseError: expected >=5 odds status blocks; got 4
8620240421030012,2024-04-23,別府競輪,12,Ｓ級決勝,https://keirin.kdreams.jp/beppu/racedetail/8620240421030012/?pageType=odds,OddsParseError: expected >=5 odds status blocks; got 4
5120240424020006,2024-04-25,福井競輪,6,Ｓ級一般,https://keirin.kdreams.jp/fukui/racedetail/5120240424020006/?pageType=odds,"OddsParseError: trifecta fixed-first tables missing for cars [1]; found=[2, 3, 4, 5, 6, 7]"
2720240429010007,2024-04-29,京王閣競輪,7,Ｓ級予選,https://keirin.kdreams.jp/keiokaku/racedetail/2720240429010007/?pageType=odds,"OddsParseError: trifecta fixed-first tables missing for cars [2]; found=[1, 3, 4, 5, 6, 7]"
4420240509010006,2024-05-09,大垣競輪,6,Ｓ級予選,https://keirin.kdreams.jp/ogaki/racedetail/4420240509010006/?pageType=odds,"OddsParseError: trifecta fixed-first tables missing for cars [1]; found=[2, 3, 4, 5, 6, 7]"
3620240522010011,2024-05-22,小田原競輪,11,Ｓ級予選,https://keirin.kdreams.jp/odawara/racedetail/3620240522010011/?pageType=odds,"OddsParseError: trifecta fixed-first tables missing for cars [5]; found=[1, 2, 3, 4, 6, 7]"
2620240520030008,2024-05-22,西武園競輪,8,Ｓ級特選,https://keirin.kdreams.jp/seibuen/racedetail/2620240520030008/?pageType=odds,"OddsParseError: trifecta fixed-first tables missing for cars [6]; found=[1, 2, 3, 4, 5, 7]"
8620240523010008,2024-05-23,別府競輪,8,Ｓ級予選,https://keirin.kdreams.jp/beppu/racedetail/8620240523010008/?pageType=odds,OddsParseError: expected >=5 odds status blocks; got 4
8620240523010009,2024-05-23,別府競輪,9,Ｓ級予選,https://keirin.kdreams.jp/beppu/racedetail/8620240523010009/?pageType=odds,OddsParseError: expected >=5 odds status blocks; got 4
8620240523010010,2024-05-23,別府競輪,10,Ｓ級予選,https://keirin.kdreams.jp/beppu/racedetail/8620240523010010/?pageType=odds,OddsParseError: expected >=5 odds status blocks; got 4
8620240523010011,2024-05-23,別府競輪,11,Ｓ級予選,https://keirin.kdreams.jp/beppu/racedetail/8620240523010011/?pageType=odds,OddsParseError: expected >=5 odds status blocks; got 4
8620240523010012,2024-05-23,別府競輪,12,Ｓ級初日特選,https://keirin.kdreams.jp/beppu/racedetail/8620240523010012/?pageType=odds,OddsParseError: expected >=5 odds status blocks; got 4
3620240522020007,2024-05-23,小田原競輪,7,Ｓ級一般,https://keirin.kdreams.jp/odawara/racedetail/3620240522020007/?pageType=odds,"OddsParseError: trifecta fixed-first tables missing for cars [1]; found=[2, 3, 4, 5, 6]"
8620240523020008,2024-05-24,別府競輪,8,Ｓ級一般,https://keirin.kdreams.jp/beppu/racedetail/8620240523020008/?pageType=odds,OddsParseError: expected >=5 odds status blocks; got 4
8620240523020009,2024-05-24,別府競輪,9,Ｓ級一般,https://keirin.kdreams.jp/beppu/racedetail/8620240523020009/?pageType=odds,OddsParseError: expected >=5 odds status blocks; got 4
8620240523020010,2024-05-24,別府競輪,10,Ｓ級準決勝,https://keirin.kdreams.jp/beppu/racedetail/8620240523020010/?pageType=odds,OddsParseError: expected >=5 odds status blocks; got 4
8620240523020011,2024-05-24,別府競輪,11,Ｓ級準決勝,https://keirin.kdreams.jp/beppu/racedetail/8620240523020011/?pageType=odds,OddsParseError: expected >=5 odds status blocks; got 4
8620240523020012,2024-05-24,別府競輪,12,Ｓ級準決勝,https://keirin.kdreams.jp/beppu/racedetail/8620240523020012/?pageType=odds,OddsParseError: expected >=5 odds status blocks; got 4
8620240523030006,2024-05-25,別府競輪,6,Ｓ級一般,https://keirin.kdreams.jp/beppu/racedetail/8620240523030006/?pageType=odds,OddsParseError: expected >=5 odds status blocks; got 4
8620240523030007,2024-05-25,別府競輪,7,Ｓ級一般,https://keirin.kdreams.jp/beppu/racedetail/8620240523030007/?pageType=odds,OddsParseError: expected >=5 odds status blocks; got 4
8620240523030008,2024-05-25,別府競輪,8,Ｓ級特選,https://keirin.kdreams.jp/beppu/racedetail/8620240523030008/?pageType=odds,OddsParseError: expected >=5 odds status blocks; got 4
8620240523030009,2024-05-25,別府競輪,9,Ｓ級特選,https://keirin.kdreams.jp/beppu/racedetail/8620240523030009/?pageType=odds,OddsParseError: expected >=5 odds status blocks; got 4
8620240523030012,2024-05-25,別府競輪,12,Ｓ級決勝,https://keirin.kdreams.jp/beppu/racedetail/8620240523030012/?pageType=odds,OddsParseError: expected >=5 odds status blocks; got 4
3720240617010007,2024-06-17,伊東競輪,7,Ｓ級予選,https://keirin.kdreams.jp/ito/racedetail/3720240617010007/?pageType=odds,"OddsParseError: trifecta fixed-first tables missing for cars [5]; found=[1, 2, 3, 4, 6, 7]"
3720240617020008,2024-06-18,伊東競輪,8,Ｓ級選抜,https://keirin.kdreams.jp/ito/racedetail/3720240617020008/?pageType=odds,"OddsParseError: trifecta fixed-first tables missing for cars [6]; found=[1, 2, 3, 4, 5, 7]"
8520240617030005,2024-06-19,佐世保競輪,5,Ｓ級一般,https://keirin.kdreams.jp/sasebo/racedetail/8520240617030005/?pageType=odds,"OddsParseError: trifecta fixed-first tables missing for cars [5]; found=[1, 2, 3, 4, 6, 7]"
3620240624020006,2024-06-25,小田原競輪,6,Ｓ級一般,https://keirin.kdreams.jp/odawara/racedetail/3620240624020006/?pageType=odds,"OddsParseError: trifecta fixed-first tables missing for cars [2]; found=[1, 3, 4, 5, 6]"
