race_id,race_date,track,meeting_grade,race_no,race_type,start_time,deadline,entry_count,source_url,captured_at_utc,predicted_line_formation,line_status,line_provider,line_source
3520260630030006,2026-07-02,平塚競輪,F1,6,Ｓ級一般,17:54,17:49,6,https://keirin.kdreams.jp/hiratsuka/racedetail/3520260630030006/?pageType=result,2026-09-17T01:04:25.340972+00:00,2-1/3-6/4-5,published,小田競・サイクル,楽天Kドリームス 並び予想
3520260630030007,2026-07-02,平塚競輪,F1,7,Ｓ級一般,18:18,18:13,6,https://keirin.kdreams.jp/hiratsuka/racedetail/3520260630030007/?pageType=result,2026-09-17T01:04:26.794089+00:00,1-5/4-2/3-6,published,小田競・サイクル,楽天Kドリームス 並び予想
3520260630030008,2026-07-02,平塚競輪,F1,8,Ｓ級特選,18:43,18:38,7,https://keirin.kdreams.jp/hiratsuka/racedetail/3520260630030008/?pageType=result,2026-09-17T01:04:28.428049+00:00,1-7/5-2-6/3-4,published,小田競・サイクル,楽天Kドリームス 並び予想
3520260630030009,2026-07-02,平塚競輪,F1,9,Ｓ級特選,19:09,19:04,7,https://keirin.kdreams.jp/hiratsuka/racedetail/3520260630030009/?pageType=result,2026-09-17T01:04:31.326294+00:00,5-1-6/7-2/3-4,published,小田競・サイクル,楽天Kドリームス 並び予想
3520260630030012,2026-07-02,平塚競輪,F1,12,Ｓ級決勝,20:30,20:25,7,https://keirin.kdreams.jp/hiratsuka/racedetail/3520260630030012/?pageType=result,2026-09-17T01:04:33.282845+00:00,5-1/2-7/3-4/6,published,小田競・サイクル,楽天Kドリームス 並び予想
2520260701030005,2026-07-03,大宮競輪,F1,5,Ｓ級一般,12:36,12:31,6,https://keirin.kdreams.jp/omiya/racedetail/2520260701030005/?pageType=result,2026-09-17T01:05:33.892801+00:00,2-4-5/6-1/3,published,アオケイ,楽天Kドリームス 並び予想
2520260701030006,2026-07-03,大宮競輪,F1,6,Ｓ級一般,13:04,12:59,6,https://keirin.kdreams.jp/omiya/racedetail/2520260701030006/?pageType=result,2026-09-17T01:05:35.360737+00:00,1-4-6/2-5-3,published,アオケイ,楽天Kドリームス 並び予想
2520260701030007,2026-07-03,大宮競輪,F1,7,Ｓ級一般,13:32,13:27,6,https://keirin.kdreams.jp/omiya/racedetail/2520260701030007/?pageType=result,2026-09-17T01:05:36.770310+00:00,2-3-5/4-1/6,published,アオケイ,楽天Kドリームス 並び予想
2520260701030008,2026-07-03,大宮競輪,F1,8,Ｓ級特選,14:01,13:56,7,https://keirin.kdreams.jp/omiya/racedetail/2520260701030008/?pageType=result,2026-09-17T01:05:38.389879+00:00,4-1-6/5-2/3-7,published,アオケイ,楽天Kドリームス 並び予想
2520260701030009,2026-07-03,大宮競輪,F1,9,Ｓ級特選,14:31,14:26,7,https://keirin.kdreams.jp/omiya/racedetail/2520260701030009/?pageType=result,2026-09-17T01:05:39.978482+00:00,5-1-6/7-2/4-3,published,アオケイ,楽天Kドリームス 並び予想
2520260701030010,2026-07-03,大宮競輪,F1,10,Ｓ級特選,15:01,14:56,7,https://keirin.kdreams.jp/omiya/racedetail/2520260701030010/?pageType=result,2026-09-17T01:05:41.601706+00:00,2-3-7/4-1-5/6,published,アオケイ,楽天Kドリームス 並び予想
2520260701030012,2026-07-03,大宮競輪,F1,12,Ｓ級決勝,16:03,15:58,7,https://keirin.kdreams.jp/omiya/racedetail/2520260701030012/?pageType=result,2026-09-17T01:05:43.180786+00:00,1/7-2/5-3/6-4,published,アオケイ,楽天Kドリームス 並び予想
1220260703010008,2026-07-03,青森競輪,F1,8,Ｓ級予選,18:43,18:38,6,https://keirin.kdreams.jp/aomori/racedetail/1220260703010008/?pageType=result,2026-09-17T01:07:38.400612+00:00,1-4/6/3-2-5,published,アオケイ,楽天Kドリームス 並び予想
1220260703010009,2026-07-03,青森競輪,F1,9,Ｓ級予選,19:09,19:04,7,https://keirin.kdreams.jp/aomori/racedetail/1220260703010009/?pageType=result,2026-09-17T01:07:39.978313+00:00,5-2-6/4-3/7-1,published,アオケイ,楽天Kドリームス 並び予想
1220260703010010,2026-07-03,青森競輪,F1,10,Ｓ級予選,19:35,19:30,7,https://keirin.kdreams.jp/aomori/racedetail/1220260703010010/?pageType=result,2026-09-17T01:07:41.406900+00:00,3-4/5-2-7/6-1,published,アオケイ,楽天Kドリームス 並び予想
1220260703010011,2026-07-03,青森競輪,F1,11,Ｓ級予選,20:02,19:57,7,https://keirin.kdreams.jp/aomori/racedetail/1220260703010011/?pageType=result,2026-09-17T01:07:43.024939+00:00,1-7-4/5-2/6-3,published,アオケイ,楽天Kドリームス 並び予想
