race_id,race_date,track,race_no,race_type,start_time,deadline,entry_count,source_url,captured_at_utc,predicted_line_formation,line_status,line_provider,line_source
2820260119010010,2026-01-19,立川競輪,10,Ｓ級予選,15:09,15:04,7,https://keirin.kdreams.jp/tachikawa/racedetail/2820260119010010/?pageType=result,2026-08-29T03:52:02.300761+00:00,5-1/2-7/4-3/6,published,アオケイ,楽天Kドリームス 並び予想
2820260119010011,2026-01-19,立川競輪,11,Ｓ級予選,15:39,15:34,7,https://keirin.kdreams.jp/tachikawa/racedetail/2820260119010011/?pageType=result,2026-08-29T03:52:04.499529+00:00,2-5/4-1-6/7-3,published,アオケイ,楽天Kドリームス 並び予想
6220260121010006,2026-01-21,広島競輪,6,Ｓ級予選,13:09,13:04,7,https://keirin.kdreams.jp/hiroshima/racedetail/6220260121010006/?pageType=result,2026-08-29T03:52:07.544898+00:00,6-1/4-2/5-3-7,published,リズム,楽天Kドリームス 並び予想
6220260121010007,2026-01-21,広島競輪,7,Ｓ級予選,13:36,13:31,7,https://keirin.kdreams.jp/hiroshima/racedetail/6220260121010007/?pageType=result,2026-08-29T03:52:09.547260+00:00,5-1-4/7-2/3-6,published,リズム,楽天Kドリームス 並び予想
6220260121010008,2026-01-21,広島競輪,8,Ｓ級予選,14:03,13:58,7,https://keirin.kdreams.jp/hiroshima/racedetail/6220260121010008/?pageType=result,2026-08-29T03:52:13.365423+00:00,1-5-3/4-2-6/7,published,リズム,楽天Kドリームス 並び予想
6220260121010009,2026-01-21,広島競輪,9,Ｓ級予選,14:31,14:26,7,https://keirin.kdreams.jp/hiroshima/racedetail/6220260121010009/?pageType=result,2026-08-29T03:52:15.797487+00:00,1-4/6-2/7-3-5,published,リズム,楽天Kドリームス 並び予想
6220260121010010,2026-01-21,広島競輪,10,Ｓ級予選,15:01,14:56,7,https://keirin.kdreams.jp/hiroshima/racedetail/6220260121010010/?pageType=result,2026-08-29T03:52:17.733667+00:00,4-2/1-5-6/7-3,published,リズム,楽天Kドリームス 並び予想
6220260121010011,2026-01-21,広島競輪,11,Ｓ級予選,15:33,15:28,7,https://keirin.kdreams.jp/hiroshima/racedetail/6220260121010011/?pageType=result,2026-08-29T03:52:19.717741+00:00,2-5/4-1-7/6-3,published,リズム,楽天Kドリームス 並び予想
3120260121010006,2026-01-21,松戸競輪,6,Ｓ級予選,17:54,17:49,7,https://keirin.kdreams.jp/matsudo/racedetail/3120260121010006/?pageType=result,2026-08-29T03:52:23.148817+00:00,7-1-6/3-5-4/2,published,アオケイ,楽天Kドリームス 並び予想
3120260121010007,2026-01-21,松戸競輪,7,Ｓ級予選,18:20,18:15,7,https://keirin.kdreams.jp/matsudo/racedetail/3120260121010007/?pageType=result,2026-08-29T03:52:25.294731+00:00,3-5-6/1-4/7-2,published,アオケイ,楽天Kドリームス 並び予想
3120260121010008,2026-01-21,松戸競輪,8,Ｓ級予選,18:46,18:41,7,https://keirin.kdreams.jp/matsudo/racedetail/3120260121010008/?pageType=result,2026-08-29T03:52:27.297910+00:00,7-1/2-4-6/5-3,published,アオケイ,楽天Kドリームス 並び予想
3120260121010009,2026-01-21,松戸競輪,9,Ｓ級予選,19:12,19:07,7,https://keirin.kdreams.jp/matsudo/racedetail/3120260121010009/?pageType=result,2026-08-29T03:52:29.172135+00:00,1-5-3/4-7-2/6,published,アオケイ,楽天Kドリームス 並び予想
3120260121010010,2026-01-21,松戸競輪,10,Ｓ級予選,19:38,19:33,7,https://keirin.kdreams.jp/matsudo/racedetail/3120260121010010/?pageType=result,2026-08-29T03:52:32.211226+00:00,4-1-6/3-5-7/2,published,アオケイ,楽天Kドリームス 並び予想
3120260121010011,2026-01-21,松戸競輪,11,Ｓ級予選,20:04,19:59,7,https://keirin.kdreams.jp/matsudo/racedetail/3120260121010011/?pageType=result,2026-08-29T03:52:34.305618+00:00,1-5/2-7-6/4-3,published,アオケイ,楽天Kドリームス 並び予想
4820260124010006,2026-01-24,四日市競輪,6,Ｓ級予選,17:51,17:46,7,https://keirin.kdreams.jp/yokkaichi/racedetail/4820260124010006/?pageType=result,2026-08-29T03:52:36.380951+00:00,4-2/6-1/3-7-5,published,富山中部,楽天Kドリームス 並び予想
