race_id,race_date,track,race_no,race_type,car_no,player_name,finish_position,finish_text,margin,last200,winning_method,sb,result_comment,result_source_url,result_source,captured_at_utc,raw_row_json
3720250101010011,2025-01-01,伊東競輪,11,Ｓ級予選,3,伊東 翔貴,6,6,１車輪,10.5,,B,,https://keirin.kdreams.jp/ito/racedetail/3720250101010011/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-28T02:18:07.010058+00:00,"{""cells"": [""△"", ""6"", ""3"", ""伊東 翔貴"", ""１車輪"", ""10.5"", """", ""B"", """"], ""row_class"": []}"
3720250101010011,2025-01-01,伊東競輪,11,Ｓ級予選,4,藤田 大輔,4,4,３/４車身,9.6,,,,https://keirin.kdreams.jp/ito/racedetail/3720250101010011/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-28T02:18:07.010058+00:00,"{""cells"": ["""", ""4"", ""4"", ""藤田 大輔"", ""３/４車身"", ""9.6"", """", """", """"], ""row_class"": []}"
3720250101010011,2025-01-01,伊東競輪,11,Ｓ級予選,5,庄子 信弘,7,7,３車身,10.7,,,,https://keirin.kdreams.jp/ito/racedetail/3720250101010011/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-28T02:18:07.010058+00:00,"{""cells"": [""注"", ""7"", ""5"", ""庄子 信弘"", ""３車身"", ""10.7"", """", """", """"], ""row_class"": []}"
3720250101010011,2025-01-01,伊東競輪,11,Ｓ級予選,6,水森 湧太,5,5,６車身,10.4,,,,https://keirin.kdreams.jp/ito/racedetail/3720250101010011/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-28T02:18:07.010058+00:00,"{""cells"": ["""", ""5"", ""6"", ""水森 湧太"", ""６車身"", ""10.4"", """", """", """"], ""row_class"": []}"
3720250101010011,2025-01-01,伊東競輪,11,Ｓ級予選,7,渡邉 晴智,2,2,３/４車身,9.6,ク,,,https://keirin.kdreams.jp/ito/racedetail/3720250101010011/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-28T02:18:07.010058+00:00,"{""cells"": [""○"", ""2"", ""7"", ""渡邉 晴智"", ""３/４車身"", ""9.6"", ""ク"", """", """"], ""row_class"": []}"
2220250101010006,2025-01-01,前橋競輪,6,Ｓ級予選,1,保科 千春,3,3,１/２車身,9.9,,,中団入って,https://keirin.kdreams.jp/maebashi/racedetail/2220250101010006/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-28T02:18:08.428653+00:00,"{""cells"": [""×"", ""3"", ""1"", ""保科 千春"", ""１/２車身"", ""9.9"", """", """", ""中団入って""], ""row_class"": []}"
2220250101010006,2025-01-01,前橋競輪,6,Ｓ級予選,2,山内 卓也,1,1,,9.9,差,,番手で差す,https://keirin.kdreams.jp/maebashi/racedetail/2220250101010006/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-28T02:18:08.428653+00:00,"{""cells"": [""注"", ""1"", ""2"", ""山内 卓也"", """", ""9.9"", ""差"", """", ""番手で差す""], ""row_class"": []}"
2220250101010006,2025-01-01,前橋競輪,6,Ｓ級予選,3,磯川 勝裕,7,7,３車身,10.1,,,巻き返せず,https://keirin.kdreams.jp/maebashi/racedetail/2220250101010006/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-28T02:18:08.428653+00:00,"{""cells"": [""○"", ""7"", ""3"", ""磯川 勝裕"", ""３車身"", ""10.1"", """", """", ""巻き返せず""], ""row_class"": []}"
2220250101010006,2025-01-01,前橋競輪,6,Ｓ級予選,4,重倉 高史,2,2,１車輪,10.2,逃,B,赤板前先行,https://keirin.kdreams.jp/maebashi/racedetail/2220250101010006/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-28T02:18:08.428653+00:00,"{""cells"": ["""", ""2"", ""4"", ""重倉 高史"", ""１車輪"", ""10.2"", ""逃"", ""B"", ""赤板前先行""], ""row_class"": []}"
2220250101010006,2025-01-01,前橋競輪,6,Ｓ級予選,5,福田 滉,6,6,１/８車輪,9.8,,S,磯川共倒れ,https://keirin.kdreams.jp/maebashi/racedetail/2220250101010006/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-28T02:18:08.428653+00:00,"{""cells"": [""◎"", ""6"", ""5"", ""福田 滉"", ""１/８車輪"", ""9.8"", """", ""S"", ""磯川共倒れ""], ""row_class"": []}"
